Date Played,Session Start Time,Session End Time,Session Duration,Daily Session Count,Total Daily Gaming Duration,Mental Fatigue Rating (1 Lowest),Focus Rating (1 Lowest),Hours Awake Before Session
12/20/2025,12:13:00 AM,12:40:00 AM,27,3,213,4,8,7
12/20/2025,11:15:00 AM,1:43:00 PM,148,3,213,1,9,3
12/20/2025,11:22:00 PM,12:00:00 AM,38,3,213,5,7,14
12/21/2025,12:21:00 AM,8:34:00 AM,493,1,493,9,1,17
12/22/2025,12:42:00 AM,1:19:00 AM,37,3,455,9,2,8
12/22/2025,5:33:00 AM,6:40:00 AM,67,3,455,1,8,3
12/22/2025,9:16:00 AM,3:07:00 PM,351,3,455,4,5,5
12/23/2025,1:27:00 AM,5:03:00 PM,936,2,964,8,2,12
12/23/2025,8:15:00 PM,8:43:00 PM,28,2,964,9,1,15
12/24/2025,12:00:00 AM,12:00:00 AM,0,0,0,0,0,0
12/25/2025,5:19:00 AM,6:42:00 AM,83,1,83,3,8,2
12/26/2025,7:03:00 AM,8:11:00 AM,68,3,228,5,7,0.5
12/26/2025,1:13:00 PM,3:17:00 PM,124,3,228,6,5,7
12/26/2025,5:01:00 PM,5:37:00 PM,36,3,228,8,4,13
12/27/2025,7:27:00 AM,7:49:00 AM,22,1,22,1,9,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
