Date Played,Session Start Time,Session End Time,Session Duration,Daily Session Count,Total Daily Gaming Duration,Mental Fatigue Rating (1 Lowest),Focus Rating (1 Lowest),Hours Awake Before Session
1/18/2026,4:27:00 AM,6:33:00 AM,126,1,126,6,4,7
1/19/2026,4:54:00 AM,5:37:00 AM,43,2,121,7,3,7
1/19/2026,9:17:00 AM,10:35:00 AM,78,2,121,8,2,12
1/20/2026,12:14:00 AM,10:48:00 AM,634,2,682,1,9,2
1/20/2026,10:39:00 PM,11:27:00 PM,48,2,682,1,9,1
1/21/2026,7:23:00 AM,8:37:00 AM,74,2,138,7,3,13
1/21/2026,10:55:00 PM,11:59:00 PM,64,2,138,2,8,2
1/22/2026,12:00:00 AM,12:00:00 AM,0,0,0,0,0,0
1/23/2026,1:48:00 AM,4:46:00 AM,178,2,220,2,8,3
1/23/2026,8:32:00 AM,9:14:00 AM,42,2,220,8,2,11
1/24/2026,1:45:00 AM,3:21:00 AM,96,2,198,3,7,4
1/24/2026,12:41:00 PM,2:23:00 PM,102,2,198,9,1,15
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,

