Date Played,Session Start Time,Session End Time,Session Duration,Daily Session Count,Total Daily Gaming Duration,Mental Fatigue Rating (1 Lowest),Focus Rating (1 Lowest),Hours Awake Before Session
11/29/2025,9:24:00 AM,1:21:00 PM,237,1,237,8,2,4
11/30/2025,4:56:00 AM,2:41:00 PM,585,2,585,2,3,1
12/1/2025,8:37:00 AM,2:41:00 PM,364,2,364,2,8,3
12/2/2025,9:42:00 PM,11:59:00 PM,137,2,137,7,4,3
12/3/2025,8:45:00 AM,11:36:00 PM,891,1,891,9,1,2
12/4/2025,8:36:00 AM,11:37:00 PM,901,1,901,8,2,2
12/5/2025,12:16:00 AM,4:04:00 AM,228,3,551,2,8,14
12/5/2025,1:34:00 PM,5:15:00 PM,221,3,551,1,9,0.5
12/5/2025,5:15:00 PM,5:43:00 PM,28,3,551,1,9,4.5
12/5/2025,10:43:00 PM,11:57:00 PM,74,3,551,1,9,9.5
,,,,,,,,
,,,,,,,,
