Date Played,Session Start Time,Session End Time,Session Duration,Daily Session Count,Total Daily Gaming Duration,Mental Fatigue Rating (1 Lowest),Focus Rating (1 Lowest),Hours Awake Before Session
1/11/2026,9:57:00 PM,11:59:00 PM,122,1,122,3,7,3
1/12/2026,12:01:00 AM,3:53:00 AM,232,2,283,6,4,6
1/12/2026,9:52:00 PM,10:43:00 PM,51,2,283,2,8,3
1/13/2026,1:22:00 AM,1:58:00 AM,36,2,74,7,3,7
1/13/2026,10:07:00 PM,10:45:00 PM,38,2,74,3,7,5
1/14/2026,1:55:00 AM,6:09:00 AM,254,3,331,7,3,8
1/14/2026,6:05:00 PM,6:40:00 PM,35,3,331,1,9,1
1/14/2026,9:21:00 PM,10:03:00 PM,42,3,331,5,5,4
1/15/2026,4:42:00 AM,6:51:00 AM,129,2,198,8,2,11
1/15/2026,10:50:00 PM,11:59:00 PM,69,2,198,2,8,3
1/16/2026,12:01:00 AM,4:07:00 AM,246,1,246,3,7,5
1/17/2026,6:52:00 AM,7:28:00 AM,36,1,36,1,9,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
