Date Played,Session Start Time,Session End Time,Session Duration,Daily Session Count,Total Daily Gaming Duration,Mental Fatigue Rating (1 Lowest),Focus Rating (1 Lowest),Hours Awake Before Session
12/28/2025,8:13:00 PM,8:35:00 PM,22,1,22,1,9,14
12/29/2025,8:50:00 AM,9:30:00 AM,40,3,139,1,9,1
12/29/2025,6:54:00 PM,7:25:00 PM,31,3,139,3,6,13
12/29/2025,10:37:00 PM,11:45:00 PM,68,3,139,6,4,17
12/30/2025,12:43:00 AM,2:12:00 AM,89,2,228,8,2,19
12/30/2025,12:51:00 PM,3:10:00 PM,139,2,228,2,8,4
12/31/2025,1:31:00 PM,2:12:00 PM,41,1,103,1,9,3
12/31/2025,5:11:00 PM,6:13:00 PM,62,1,103,4,7,6
1/1/2026,12:00:00 AM,12:00:00 AM,0,3,0,0,0,0
1/2/2026,2:48:00 PM,5:26:00 PM,158,3,158,2,8,3
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
