Date Played,Session Start Time,Session End Time,Session Duration,Daily Session Count,Total Daily Gaming Duration,Mental Fatigue Rating (1 Lowest),Focus Rating (1 Lowest),Hours Awake Before Session
1/3/2026,7:21:00 PM,11:39:00 PM,258,1,258,2,8,10
1/4/2026,12:21:00 AM,1:53:00 AM,92,2,171,7,4,11
1/4/2026,10:41:00 PM,12:00:00 AM,79,2,171,8,2,3
1/5/2026,12:00:00 AM,12:00:00 AM,0,0,0,0,0,0
1/6/2026,12:05:00 AM,12:27:00 AM,22,2,31,7,3,15
1/6/2026,11:51:00 PM,12:00:00 AM,9,2,31,2,5,8
1/7/2026,1:49:00 AM,2:25:00 AM,36,3,198,8,2,12
1/7/2026,1:57:00 PM,2:54:00 PM,57,3,198,2,7,3
1/7/2026,7:01:00 PM,8:46:00 PM,105,3,198,5,4,7
1/8/2026,1:04:00 AM,3:30:00 AM,146,2,391,8,3,11
1/8/2026,3:44:00 PM,7:49:00 PM,245,2,391,4,8,5
1/9/2026,1:31:00 AM,3:22:00 AM,111,2,346,8,2,15
1/9/2026,2:41:00 PM,6:36:00 PM,235,2,346,3,7,4
1/10/2026,12:48:00 AM,3:48:00 AM,180,2,480,8,2,9
1/10/2026,4:09:00 PM,9:09:00 PM,300,2,480,1,9,7
,,,,,,,,
,,,,,,,,
,,,,,,,,
