Date Played,Session Start Time,Session End Time,Session Duration,Daily Session Count,Total Daily Gaming Duration,Mental Fatigue Rating (1 Lowest),Focus Rating (1 Lowest),Hours Awake Before Session
2/1/2025,2:20:00 PM,3:51:00 PM,91,1,91,1,9,4
2/2/2025,11:10:00 AM,1:10:00 PM,120,2,210,1,9,3
2/2/2025,9:53:00 PM,11:23:00 PM,90,2,210,6,4,13
2/3/2025,12:15:00 PM,12:54:00 PM,39,3,204,2,8,4
2/3/2025,6:49:00 PM,9:34:00 PM,165,3,204,4,6,10
2/4/2025,6:31:00 PM,7:02:00 PM,31,2,74,3,7,10
2/4/2025,10:04:00 PM,10:47:00 PM,43,2,74,6,4,14
2/5/2025,2:39:00 AM,3:14:00 AM,35,1,35,9,1,14
2/6/2025,12:00:00 AM,12:00:00 AM,0,0,0,0,0,0
2/7/2025,12:00:00 AM,12:00:00 AM,0,0,0,0,0,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
