Date Played,Session Start Time,Session End Time,Session Duration,Daily Session Count,Total Daily Gaming Duration,Mental Fatigue Rating (1 Lowest),Focus Rating (1 Lowest),Hours Awake Before Session
12/13/2025,12:40:00 AM,1:23:00 AM,43,2,209,8,2,7
12/13/2025,8:00:00 PM,10:46:00 PM,166,2,209,5,4,14
12/14/2025,3:15:00 AM,5:40:00 AM,145,2,513,8,2,6
12/14/2025,4:45:00 PM,10:53:00 PM,368,2,513,3,7,2
12/15/2025,9:37:00 PM,11:53:00 PM,136,1,136,3,9,5
12/16/2025,12:00:00 AM,12:00:00 AM,0,0,0,0,0,0
12/17/2025,1:41:00 AM,5:39:00 AM,238,2,286,2,8,7
12/17/2025,9:27:00 PM,10:15:00 PM,48,2,286,4,5,4
12/18/2025,12:00:00 AM,12:00:00 AM,0,0,0,0,0,0
12/19/2025,1:23:00 AM,3:12:00 AM,109,2,192,7,3,7
12/19/2025,9:29:00 PM,10:52:00 PM,83,2,192,1,9,4
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
