Date Played,Session Start Time,Session End Time,Session Duration,Daily Session Count,Total Daily Gaming Duration,Mental Fatigue Rating (1 Lowest),Focus Rating (1 Lowest),Hours Awake Before Session
1/25/2026,12:53:00 AM,3:58:00 AM,185,2,585,2,8,3
1/25/2026,7:04:00 AM,1:44:00 PM,400,2,585,8,2,10
1/26/2026,6:13:00 AM,6:49:00 AM,36,2,282,1,9,2
1/26/2026,12:24:00 PM,4:30:00 PM,246,2,282,5,5,8
1/27/2026,6:08:00 AM,8:39:00 AM,151,2,1103,2,8,3
1/27/2026,10:46:00 AM,2:38:00 AM,952,2,1103,4,6,7
1/28/2026,6:33:00 PM,7:02:00 PM,29,1,29,1,9,7
1/29/2026,1:26:00 PM,6:06:00 PM,280,1,280,1,9,3
1/30/2026,3:07:00 PM,6:43:00 PM,216,1,216,3,7,6
1/31/2026,9:36:00 AM,12:33:00 PM,177,2,299,1,9,2
1/31/2026,7:47:00 PM,9:49:00 PM,122,2,299,3,7,10
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
